SampleID,WR,EC,pH,Sample regions,Longitude,Latitude
BP1,3.306009736,331.6666667,7.03,ALE,86.79152778,48.6888961
BP2,3.451354653,249.6666667,7.273333333,ALE,86.79152778,48.6888961
BP3,3.16144691,296,7.316666667,ALE,86.79152778,48.6888961
BP4,2.775541847,317,7.306666667,ALE,86.79152778,48.6888961
BP5,0.724679429,411.3333333,7.556666667,ALE,86.79152778,48.6888961
BP6,1.234725176,404.3333333,4.816666667,ALE,86.79152778,48.6888961
BP7,2.966483153,302,7.583333333,ALE,86.79152778,48.6888961
LS1,1.397302236,166.2666667,4.866666667,ALE,86.79152778,48.6888961
LS10,1.534801068,317,4.513333333,ALE,86.79152778,48.6888961
LS2,3.765575307,244,7.323333333,ALE,86.79152778,48.6888961
LS3,1.606873279,301,4.04,ALE,86.79152778,48.6888961
LS4,4.157619564,164.0333333,6.553333333,ALE,86.79152778,48.6888961
LS5,1.72809981,248,4.3,ALE,86.79152778,48.6888961
LS6,1.496463724,250,4.736666667,ALE,86.79152778,48.6888961
LS7,4.678364806,219.6666667,6.703333333,ALE,86.79152778,48.6888961
LS8,4.225721448,201.1333333,6.616666667,ALE,86.79152778,48.6888961
LS9,3.964619675,202.3,7.026666667,ALE,86.79152778,48.6888961
PO1,4.057337241,243.6666667,6.953333333,ALE,86.79152778,48.6888961
PO2,4.270078144,226,7.053333333,ALE,86.79152778,48.6888961
PO3,1.332668874,181.8666667,5.196666667,ALE,86.79152778,48.6888961
PO4,2.012231481,338.3333333,7.16,ALE,86.79152778,48.6888961
PO5,3.741776142,193.9666667,7.216666667,ALE,86.79152778,48.6888961
PO6,1.231441236,819.3333333,4.733333333,ALE,86.79152778,48.6888961
PO7,1.022101858,486,5.523333333,ALE,86.79152778,48.6888961
PO8,3.805581407,341.3333333,7.383333333,ALE,86.79152778,48.6888961
POBP1,3.14686674,283.3333333,7.526666667,ALE,86.79152778,48.6888961
POBP2,3.954544285,271.3333333,7.303333333,ALE,86.79152778,48.6888961
POBPls1,4.31106876,184.0333333,7.183333333,ALE,86.79152778,48.6888961
POBPls10,3.964499471,217.6333333,6.706666667,ALE,86.79152778,48.6888961
POBPls2,1.937252771,471,7.366666667,ALE,86.79152778,48.6888961
POBPls3,1.36734273,354,5.193333333,ALE,86.79152778,48.6888961
POBPls4,1.135387906,543.3333333,4.866666667,ALE,86.79152778,48.6888961
POBPls5,1.384920009,256.6666667,5.763333333,ALE,86.79152778,48.6888961
POBPls6,3.894562554,224.6666667,7.156666667,ALE,86.79152778,48.6888961
POBPls7,4.213015045,296,7.32,ALE,86.79152778,48.6888961
POBPls8,3.514586373,238,7.423333333,ALE,86.79152778,48.6888961
POBPls9,1.491767306,498,4.12,ALE,86.79152778,48.6888961
POLS1,3.664000142,376.3333333,7.326666667,ALE,86.79152778,48.6888961
POLS2,1.022492711,242.5,6.25,ALE,86.79152778,48.6888961
POLS3,3.787545105,195.3,7.546666667,ALE,86.79152778,48.6888961
POLS4,4.160095886,279.3333333,7.173333333,ALE,86.79152778,48.6888961
POLS5,4.236800271,373,7.653333333,ALE,86.79152778,48.6888961
POLS6,2.8461633,278.3333333,6.863333333,ALE,86.79152778,48.6888961
POLS7,2.634720705,373.3333333,7.233333333,ALE,86.79152778,48.6888961
PSM1,1.199907629,81.8,6.393333333,ALE,86.79152778,48.6888961
BPD-QM1,1.467312424,213.1666667,4.15,GKM,124.1475763,50.430096
BPD-QM2,3.914969291,217.7333333,7.296666667,GKM,124.1475763,50.430096
BPD-QM3,1.57248284,108.2,4.413333333,GKM,124.1475763,50.430096
BPD-QM4,4.00944209,276.3333333,7.28,GKM,124.1475763,50.430096
BPD-QM5,0.96020661,717,6.806666667,GKM,124.1475763,50.430096
BPD-QM6,4.779233333,113.6666667,7.12,GKM,124.1475763,50.430096
BPD-QM7,3.671611303,233,7.23,GKM,124.1475763,50.430096
LG11,1.604551708,164.4333333,3.956666667,GKM,124.1475763,50.430096
LG110,1.131452045,108.6666667,4.993333333,GKM,124.1475763,50.430096
LG12,2.961641193,148.7333333,6.493333333,GKM,124.1475763,50.430096
LG13,1.56415726,156.6,4.226666667,GKM,124.1475763,50.430096
LG14,3.349284426,147.6666667,6.52,GKM,124.1475763,50.430096
LG15,2.988272664,138.3333333,6.67,GKM,124.1475763,50.430096
LG16,1.496485017,101.7666667,4.776666667,GKM,124.1475763,50.430096
LG17,1.408592064,95.2,4.58,GKM,124.1475763,50.430096
LG18,3.621890361,148.4666667,6.326666667,GKM,124.1475763,50.430096
LG19,1.393466704,155.1333333,4.606666667,GKM,124.1475763,50.430096
LG21,1.637270907,104.6,4.87,GKM,124.1475763,50.430096
LG22,3.54716774,178.0666667,5.65,GKM,124.1475763,50.430096
LG23,1.397965472,118.9333333,4.536666667,GKM,124.1475763,50.430096
LG24,1.378779745,113.6333333,5.3,GKM,124.1475763,50.430096
LG25,1.100462031,105.6333333,6.116666667,GKM,124.1475763,50.430096
LG26,3.684709007,146.6666667,5.386666667,GKM,124.1475763,50.430096
LG27,1.382148616,111.0666667,5.383333333,GKM,124.1475763,50.430096
PK1,3.873185989,195.0333333,5.763333333,GKM,124.1475763,50.430096
PK2,0.879547834,93.83333333,6,GKM,124.1475763,50.430096
PK3,0.827308462,96.06666667,6.34,GKM,124.1475763,50.430096
PK4,3.383724172,199.1,6.356666667,GKM,124.1475763,50.430096
PK5,1.776620638,107.6666667,5.456666667,GKM,124.1475763,50.430096
PK6,1.241202214,108.9666667,5.066666667,GKM,124.1475763,50.430096
PSM2,2.848566983,175.8666667,6.65,GKM,124.1475763,50.430096
PSM3,1.438086256,84.83333333,5.183333333,GKM,124.1475763,50.430096
PSM4,1.561960898,98.23333333,5.09,GKM,124.1475763,50.430096
PSM5,2.567284609,147,6.636666667,GKM,124.1475763,50.430096
PSM6,1.699705395,97.03333333,6.41,GKM,124.1475763,50.430096
PSM7,1.791400451,91.46666667,4.426666667,GKM,124.1475763,50.430096
PSM8,3.196143235,163.4,6.296666667,GKM,124.1475763,50.430096
QM1,3.6907544,168.6666667,6.833333333,GKM,124.1475763,50.430096
QM2,1.059483418,160.4666667,6.213333333,GKM,124.1475763,50.430096
QM3,2.927165359,165.3,6.613333333,GKM,124.1475763,50.430096
QM4,3.763855541,131.3666667,6.61,GKM,124.1475763,50.430096
QM5,1.870666149,132.4,7.043333333,GKM,124.1475763,50.430096
QM6,2.60632352,131.5333333,6.583333333,GKM,124.1475763,50.430096
