jaccard	LG11	LG12	LG13	LG14	LG15	LG16	LG17	LG18	LG19	LG110	QM1	QM2	QM3	QM4	QM5	QM6	BPD-QM1	BPD-QM2	BPD-QM3	BPD-QM4	BPD-QM5	BPD-QM6	BPD-QM7	PK1	PK2	PK3	PK4	PK5	PK6	PSM1	PSM2	PSM3	PSM4	PSM5	PSM6	PSM7	PSM8	LG21	LG22	LG23	LG24	LG25	LG26	LG27	POBPls1	POBPls2	POBPls3	POBPls4	POBPls5	POBPls6	POBPls7	POBPls8	POBPls9	POBPls10	PO1	PO2	PO3	PO4	PO5	PO6	PO7	PO8	LS1	LS2	LS3	LS4	LS5	LS6	LS7	LS8	LS9	LS10	BP1	BP2	BP3	BP4	BP5	BP6	BP7	POBP1	POBP2	POLS1	POLS2	POLS3	POLS4	POLS5	POLS6	POLS7
LG11	0	1.000	0.857	1.000	0.750	0.857	0.636	1.000	0.500	0.950	1.000	0.944	1.000	1.000	1.000	1.000	0.929	1.000	0.556	1.000	0.933	1.000	1.000	1.000	1.000	1.000	0.917	0.944	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.636	1.000	0.750	0.813	0.909	1.000	0.867	1.000	1.000	0.852	0.556	0.850	1.000	0.857	1.000	0.727	1.000	1.000	1.000	0.727	1.000	1.000	1.000	1.000	1.000	0.444	1.000	0.444	1.000	0.571	0.444	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG12	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.944	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	0.800	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG13	0.857	1.000	0	1.000	0.667	0.941	0.875	1.000	0.800	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	0.875	0.917	1.000	1.000	0.900	1.000	1.000	0.958	0.833	0.938	1.000	1.000	1.000	0.952	1.000	1.000	1.000	0.952	1.000	1.000	1.000	1.000	1.000	0.857	1.000	0.857	1.000	0.667	0.857	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG14	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG15	0.750	1.000	0.667	1.000	0	0.824	0.625	1.000	0.400	0.867	1.000	0.929	1.000	1.000	1.000	1.000	0.778	1.000	0.875	1.000	0.909	1.000	1.000	1.000	1.000	1.000	0.875	0.846	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.625	1.000	0.625	0.929	0.857	1.000	0.700	1.000	1.000	0.962	0.875	0.944	1.000	0.667	1.000	0.857	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0.889	1.000	0.889	1.000	0.800	0.889	1.000	1.000	1.000	0.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG16	0.857	1.000	0.941	1.000	0.824	0	0.611	1.000	0.778	0.760	1.000	0.964	0.941	1.000	0.962	1.000	0.810	1.000	0.905	1.000	0.917	0.955	1.000	0.882	0.889	0.957	0.955	0.739	0.722	0.950	1.000	0.941	0.850	0.900	0.833	1.000	1.000	0.750	1.000	0.611	0.840	0.706	1.000	0.500	1.000	1.000	0.861	0.905	0.862	1.000	0.941	1.000	0.733	1.000	1.000	1.000	0.643	1.000	1.000	1.000	1.000	1.000	0.857	1.000	0.909	0.952	0.889	0.909	1.000	1.000	1.000	0.944	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG17	0.636	1.000	0.875	1.000	0.625	0.611	0	1.000	0.375	0.778	1.000	0.947	1.000	1.000	1.000	1.000	0.667	1.000	0.727	1.000	0.938	1.000	1.000	1.000	1.000	1.000	0.923	0.750	0.600	1.000	1.000	1.000	1.000	1.000	0.909	1.000	1.000	0.400	1.000	0.400	0.824	0.818	1.000	0.500	1.000	1.000	0.897	0.727	0.857	1.000	0.875	1.000	0.682	1.000	1.000	1.000	0.682	1.000	1.000	1.000	1.000	1.000	0.750	1.000	0.750	1.000	0.625	0.750	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG18	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG19	0.500	1.000	0.800	1.000	0.400	0.778	0.375	1.000	0	0.882	1.000	0.938	1.000	1.000	1.000	1.000	0.818	1.000	0.625	1.000	0.923	1.000	1.000	1.000	1.000	1.000	0.900	0.867	0.778	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.375	1.000	0.556	0.786	0.889	1.000	0.750	1.000	1.000	0.885	0.625	0.833	1.000	0.800	1.000	0.762	1.000	1.000	1.000	0.762	1.000	1.000	1.000	1.000	1.000	0.667	1.000	0.667	1.000	0.400	0.667	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
LG110	0.950	1.000	1.000	1.000	0.867	0.760	0.778	1.000	0.882	0	1.000	1.000	1.000	1.000	0.957	1.000	0.842	1.000	1.000	1.000	0.905	1.000	1.000	1.000	1.000	1.000	0.947	0.375	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.842	1.000	0.625	0.818	0.882	1.000	0.667	1.000	1.000	0.973	1.000	1.000	1.000	0.929	1.000	0.654	1.000	1.000	1.000	0.478	1.000	1.000	1.000	1.000	1.000	0.950	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
QM1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.917	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	0.889	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
QM2	0.944	1.000	0.917	1.000	0.929	0.964	0.947	1.000	0.938	1.000	0.917	0	1.000	1.000	0.308	1.000	1.000	1.000	0.941	1.000	0.765	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.917	0.947	1.000	0.947	0.957	1.000	1.000	0.952	1.000	1.000	0.941	0.941	0.963	1.000	1.000	1.000	0.969	1.000	1.000	1.000	0.969	1.000	1.000	1.000	1.000	0.950	0.944	1.000	0.944	1.000	0.929	0.944	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
QM3	1.000	1.000	1.000	1.000	1.000	0.941	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	0.958	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.952	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
QM4	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000
QM5	1.000	1.000	1.000	1.000	1.000	0.962	1.000	1.000	1.000	0.957	0.900	0.308	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.643	0.667	1.000	1.000	1.000	1.000	1.000	0.952	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.952	0.929	1.000	1.000	1.000	1.000	0.970	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	0.944	0.938	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
QM6	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
BPD-QM1	0.929	1.000	1.000	1.000	0.778	0.810	0.667	1.000	0.818	0.842	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.923	1.000	0.938	1.000	1.000	1.000	0.895	0.929	0.923	0.750	0.600	1.000	1.000	1.000	0.833	1.000	0.909	1.000	1.000	0.769	1.000	0.769	0.947	0.818	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	0.885	1.000	1.000	1.000	0.885	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
